lat,lon,i,j,UTM_E,UTM_N,depth
46.2945808198791,-72.5572803366723,25,254,688136.657940819,5129678.32235332,-8.798
46.2945253322443,-72.5546859878659,25,255,688336.657940818,5129678.32235334,-0.661
46.2944697857955,-72.5520916467054,25,256,688536.657940822,5129678.32235335,-0.264
46.2933889261854,-72.5858977458248,26,243,685936.657940826,5129478.32235316,-0.236
46.2933340889579,-72.583303398218,26,244,686136.657940827,5129478.32235318,-0.646
46.2932791929152,-72.5807090581676,26,245,686336.657940827,5129478.32235319,-14.628
46.2932242380575,-72.5781147256814,26,246,686536.657940828,5129478.3223532,-18.968
46.2931692243854,-72.5755204007675,26,247,686736.657940826,5129478.32235322,-21.308
46.2931141518993,-72.5729260834341,26,248,686936.657940829,5129478.32235324,-21.518
46.2930590205997,-72.5703317736892,26,249,687136.65794083,5129478.32235325,-17.638
46.2930038304869,-72.5677374715409,26,250,687336.65794083,5129478.32235326,-16.248
46.2929485815616,-72.5651431769973,26,251,687536.657940833,5129478.32235328,-13.998
46.2928932738239,-72.5625488900664,26,252,687736.657940831,5129478.32235329,-11.228
46.2928379072746,-72.5599546107563,26,253,687936.657940833,5129478.32235331,-9.058
46.2927824819139,-72.557360339075,26,254,688136.657940831,5129478.32235332,-0.684
46.2927269977424,-72.5547660750307,26,255,688336.657940833,5129478.32235334,-0.434
46.2926714547604,-72.5521718186314,26,256,688536.657940834,5129478.32235335,-0.028
46.2917546982335,-72.5937596420158,27,240,685336.657940835,5129278.32235312,-0.408
46.2917000408664,-72.5911653565555,27,241,685536.657940837,5129278.32235313,-0.451
46.2916453246863,-72.5885710786263,27,242,685736.65794084,5129278.32235315,-0.645
46.2915905496937,-72.5859768082363,27,243,685936.657940838,5129278.32235316,-1.319
46.291535715889,-72.5833825453936,27,244,686136.657940843,5129278.32235318,-15.918
46.2914808232726,-72.5807882901061,27,245,686336.65794084,5129278.32235319,-19.848
46.2914258718449,-72.5781940423821,27,246,686536.657940843,5129278.32235321,-19.658
46.2913708616065,-72.5755998022296,27,247,686736.657940841,5129278.32235322,-20.008
46.2913157925578,-72.5730055696565,27,248,686936.657940842,5129278.32235324,-17.138
46.2912606646992,-72.5704113446711,27,249,687136.657940845,5129278.32235325,-15.808
46.2912054780312,-72.5678171272814,27,250,687336.657940846,5129278.32235326,-13.968
46.2911502325541,-72.5652229174954,27,251,687536.657940845,5129278.32235328,-10.818
46.2910949282686,-72.5626287153213,27,252,687736.657940845,5129278.32235329,-9.208
46.2910395651749,-72.560034520767,27,253,687936.657940846,5129278.32235331,-0.766
46.2909841432736,-72.5574403338407,27,254,688136.657940848,5129278.32235332,-0.345
46.290928662565,-72.5548461545505,27,255,688336.657940847,5129278.32235334,-0.375
46.2903372418149,-72.6119980576872,28,233,683936.657940848,5129078.32235302,-0.238
46.2902829995369,-72.6094038044999,28,234,684136.657940849,5129078.32235303,-0.496
46.2902286984464,-72.6068095587864,28,235,684336.657940848,5129078.32235305,-0.548
46.2901743385441,-72.6042153205547,28,236,684536.657940848,5129078.32235306,-0.734
46.2901199198302,-72.6016210898128,28,237,684736.65794085,5129078.32235308,-0.844
46.2900654423052,-72.5990268665689,28,238,684936.657940849,5129078.32235309,-0.925
46.2900109059695,-72.5964326508309,28,239,685136.657940852,5129078.3223531,-0.958
46.2899563108237,-72.5938384426071,28,240,685336.657940853,5129078.32235312,-0.972
46.2899016568681,-72.5912442419053,28,241,685536.657940854,5129078.32235313,-1.09
46.2898469441032,-72.5886500487338,28,242,685736.657940851,5129078.32235315,-12.138
46.2897921725293,-72.5860558631006,28,243,685936.657940852,5129078.32235316,-18.308
46.2897373421471,-72.5834616850137,28,244,686136.657940854,5129078.32235318,-19.518
46.2896824529568,-72.5808675144813,28,245,686336.657940857,5129078.32235319,-19.918
46.289627504959,-72.5782733515114,28,246,686536.657940857,5129078.32235321,-18.368
46.2895724981541,-72.575679196112,28,247,686736.657940857,5129078.32235322,-17.388
46.2895174325426,-72.5730850482913,28,248,686936.657940857,5129078.32235324,-16.078
46.2894623081248,-72.5704909080573,28,249,687136.65794086,5129078.32235325,-13.668
46.2894071249012,-72.5678967754181,28,250,687336.657940858,5129078.32235327,-10.488
46.2893518828723,-72.5653026503817,28,251,687536.657940859,5129078.32235328,-8.888
46.2892965820385,-72.5627085329563,28,252,687736.65794086,5129078.3223533,-0.706
46.2892412224003,-72.5601144231498,28,253,687936.657940861,5129078.32235331,-0.401
46.2891858039581,-72.5575203209704,28,254,688136.657940861,5129078.32235332,-0.388
46.288701193777,-72.6198588075256,29,230,683336.657940857,5128878.32235297,-0.323
46.2886471313134,-72.6172646167251,29,231,683536.657940859,5128878.32235299,-0.464
46.2885930100399,-72.6146704333731,29,232,683736.657940859,5128878.322353,-0.551
46.2885388299567,-72.6120762574778,29,233,683936.657940861,5128878.32235302,-0.706
46.2884845910643,-72.6094820890473,29,234,684136.65794086,5128878.32235303,-0.94
46.2884302933632,-72.6068879280896,29,235,684336.65794086,5128878.32235305,-0.993
46.2883759368537,-72.6042937746129,29,236,684536.657940863,5128878.32235306,-1.056
46.2883215215365,-72.601699628625,29,237,684736.657940862,5128878.32235308,-1.095
46.2882670474118,-72.5991054901343,29,238,684936.657940865,5128878.32235309,-1.203
46.2882125144801,-72.5965113591486,29,239,685136.657940865,5128878.3223531,-1.239
46.2881579227418,-72.5939172356762,29,240,685336.657940866,5128878.32235312,-1.635
46.2881032721975,-72.5913231197249,29,241,685536.657940869,5128878.32235313,-15.248
46.2880485628475,-72.588729011303,29,242,685736.657940868,5128878.32235315,-19.558
